Year,Week Reported,County,State,Positive Cases
2013,44,Kern,California,1
2013,46,Kern,California,1
2013,47,Kern,California,2
2013,50,Kern,California,1
2013,44,Kings,California,1
2013,30,Los Angeles,California,2
2013,31,Los Angeles,California,5
2013,33,Los Angeles,California,8
2013,34,Los Angeles,California,12
2013,35,Los Angeles,California,8
2013,36,Los Angeles,California,8
2013,37,Los Angeles,California,11
2013,38,Los Angeles,California,8
2013,39,Los Angeles,California,9
2013,40,Los Angeles,California,8
2013,41,Los Angeles,California,10
2013,42,Los Angeles,California,21
2013,43,Los Angeles,California,11
2013,44,Los Angeles,California,9
2013,45,Los Angeles,California,8
2013,46,Los Angeles,California,5
2013,47,Los Angeles,California,3
2013,48,Los Angeles,California,2
2013,50,Los Angeles,California,2
2013,51,Los Angeles,California,8
2013,40,Madera,California,2
2013,42,Madera,California,1
2013,35,Marin,California,1
2013,37,Marin,California,1
2013,35,Napa,California,1
2013,33,Orange,California,1
2013,37,Orange,California,1
2013,39,Orange,California,1
2013,40,Orange,California,1
2013,44,Orange,California,2
2013,45,Orange,California,3
2013,34,Placer,California,1
2013,38,Placer,California,3
2013,41,Placer,California,1
2013,53,Placer,California,1
2013,31,Riverside,California,1
2013,33,Riverside,California,1
2013,35,Riverside,California,1
2013,37,Riverside,California,1
2013,38,Riverside,California,3
2013,39,Riverside,California,5
2013,40,Riverside,California,4
2013,41,Riverside,California,4
2013,42,Riverside,California,5
2013,43,Riverside,California,6
2013,44,Riverside,California,3
2013,45,Riverside,California,1
2013,9,Sacramento,California,1
2013,31,Sacramento,California,1
2013,34,Sacramento,California,1
2013,45,Sacramento,California,6
2013,47,Sacramento,California,1
2013,35,San Bernardino,California,1
2013,38,San Bernardino,California,1
2013,40,San Bernardino,California,2
